Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CHANGE,,,,,,,,,,,,,,,,,,,
CHANNEL,CHANNEL,DOORKNOB, TURN THE HEAT UP,CHANNEL(3), FAUCET, KNOB, COMBINATION SAFE / LOCKER,,,,,,,,,,,,
CHAPTER,,,,,,,,,,,,,,,,,,,
CHARACTER,,,,,,,,,,,,,,,,,,,
CHARACTERISTIC,,,,,,,,,,,,,,,,,,,
CHASE,,,,,,,,,,,,,,,,,,,
CHAT,,,,,,,,,,,,,,,,,,,
CHEAP,,,,,,,,,,,,,,,,,,,
CHEAT,,,,,,,,,,,,,,,,,,,
CHEAT_2,CHEAT, CHEATING,CHEATER, CHEATING,,,,,,,,,,,,,,,
CHECK,,,,,,,,,,,,,,,,,,,
CHECK-LIST,,,,,,,,,,,,,,,,,,,
CHECKERS,,,,,,,,,,,,,,,,,,,
CHECKING-ACCOUNT,,,,,,,,,,,,,,,,,,,
CHEESE,,,,,,,,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,,,,,,,,
CHERISH,,,,,,,,,,,,,,,,,,,
CHERRY,,,,,,,,,,,,,,,,,,,
CHEST,,,,,,,,,,,,,,,,,,,
CHEW,,,,,,,,,,,,,,,,,,,
CHILD,,,,,,,,,,,,,,,,,,,
CHIN,,,,,,,,,,,,,,,,,,,
CHOCOLATE,CHOCOLATE,TALK OR THINK DIRTY,,,,,,,,,,,,,,,,,
CHOKE,,,,,,,,,,,,,,,,,,,
CHOOSE,,,,,,,,,,,,,,,,,,,
CHRIST,,,,,,,,,,,,,,,,,,,
CHRISTMAS,,,,,,,,,,,,,,,,,,,
CHURCH,,,,,,,,,,,,,,,,,,,
CIGAR,,,,,,,,,,,,,,,,,,,
CIGARETTE,,,,,,,,,,,,,,,,,,,
CIRCLE,,,,,,,,,,,,,,,,,,,
CIRCUMCISE,,,,,,,,,,,,,,,,,,,
CITY-COMMUNITY,,,,,,,,,,,,,,,,,,,
CLASS,,,,,,,,,,,,,,,,,,,
CLASS+BOX-ROOM,,,,,,,,,,,,,,,,,,,
CLEAR,CLEAR,BRIGHT, OBVIOUS, LIGHT,OBVIOUS, CLEAR, BRIGHT, LIGHT, CLARIFY,,,,,,,,,,
CLEVER,,,,,,,,,,,,,,,,,,,
CLIMB,,,,,,,,,,,,,,,,,,,
CLIMBING-ROCKS,,,,,,,,,,,,,,,,,,,
CLIP-NAILS,,,,,,,,,,,,,,,,,,,
CLOSE,,,,,,,,,,,,,,,,,,,
CLOSE-DOOR,,,,,,,,,,,,,,,,,,,
CLOSE-WINDOW,,,,,,,,,,,,,,,,,,,
CLOUD_2,CLOUD, CLOUDS,CLOUDY, DECORATE, DECORATION,DECORATION,,,,,,,,,,,,,
CLOWN,,,,,,,,,,,,,,,,,,,
COACH,,,,,,,,,,,,,,,,,,,
COAT,,,,,,,,,,,,,,,,,,,
COCAINE,,,,,,,,,,,,,,,,,,,
COCONUT,,,,,,,,,,,,,,,,,,,
COFFEE,,,,,,,,,,,,,,,,,,,
COINS-CHANGE,,,,,,,,,,,,,,,,,,,
COLD,,,,,,,,,,,,,,,,,,,
COLD+DOOR,,,,,,,,,,,,,,,,,,,
COLLAPSE,,,,,,,,,,,,,,,,,,,
COLLAR,,,,,,,,,,,,,,,,,,,
COLLECT,,,,,,,,,,,,,,,,,,,
COLLEGE,,,,,,,,,,,,,,,,,,,
COLOR,,,,,,,,,,,,,,,,,,,
COMB,,,,,,,,,,,,,,,,,,,
COME,,,,,,,,,,,,,,,,,,,
COME-ON,,,,,,,,,,,,,,,,,,,
COMFORTABLE,,,,,,,,,,,,,,,,,,,
COMMITTEE,,,,,,,,,,,,,,,,,,,
COMMON-SENSE,,,,,,,,,,,,,,,,,,,
COMMUNICATE,,,,,,,,,,,,,,,,,,,
COMMUNICATE+MISCOMMUNICATE,,,,,,,,,,,,,,,,,,,
COMMUNIST,,,,,,,,,,,,,,,,,,,
COMMUTE,,,,,,,,,,,,,,,,,,,
COMPARE,,,,,,,,,,,,,,,,,,,
COMPETITION,,,,,,,,,,,,,,,,,,,
COMPLAIN-OBJECT,,,,,,,,,,,,,,,,,,,
COMPLICATED,,,,,,,,,,,,,,,,,,,
COMPUTER,,,,,,,,,,,,,,,,,,,
COMPUTER_MOUSE,COMPUTER MOUSE,MOUSE TRACKPAD,POINTING DEVICE, CL: HOW THE PERSON MOVED THE MOUSE,,,,,,,,,,,,,,,
CONCEPT,,,,,,,,,,,,,,,,,,,
CONCERN,,,,,,,,,,,,,,,,,,,
CONCLUSION,,,,,,,,,,,,,,,,,,,
CONDUCT-MUSIC,,,,,,,,,,,,,,,,,,,
CONDUCTOR,,,,,,,,,,,,,,,,,,,
CONFIDENT,,,,,,,,,,,,,,,,,,,
CONFIDENTIAL,,,,,,,,,,,,,,,,,,,
CONFLICT-INTERSECTION,,,,,,,,,,,,,,,,,,,
CONFRONT,,,,,,,,,,,,,,,,,,,
CONFUSE,,,,,,,,,,,,,,,,,,,
CONGRATULATIONS,,,,,,,,,,,,,,,,,,,
CONSTITUTION,,,,,,,,,,,,,,,,,,,
CONTACT,,,,,,,,,,,,,,,,,,,
CONTACT-LENSES,,,,,,,,,,,,,,,,,,,
CONTINUE,CONTINUE,GOING ON, CONSTANT, CONSTANTLY, PERSIST, LASTING, KEEP GOING, WON'T STOP,CARRY ON, CONSTANT, CONSTANTL, MONOTONOUS, ONGOING, CONTINUING, CONTINUOUS, NON-STOP,,,
CONVINCE,,,,,,,,,,,,,,,,,,,
COOK-KITCHEN,,,,,,,,,,,,,,,,,,,
COOK-KITCHEN+AGENT,,,,,,,,,,,,,,,,,,,
COOK-KITCHEN+BOX-ROOM,,,,,,,,,,,,,,,,,,,
COOKIE,,,,,,,,,,,,,,,,,,,
COOKING,,,,,,,,,,,,,,,,,,,
COOL,,,,,,,,,,,,,,,,,,,
COOPERATE-UNITE,,,,,,,,,,,,,,,,,,,
COP,,,,,,,,,,,,,,,,,,,
COP++RESEARCH,,,,,,,,,,,,,,,,,,,
COPY,,,,,,,,,,,,,,,,,,,
COPY-DOWN,,,,,,,,,,,,,,,,,,,
CORKSCREW,CORKSCREW,,,,,,,,,,,,,,,,,,
CORN,,,,,,,,,,,,,,,,,,,
CORN-3,,,,,,,,,,,,,,,,,,,
CORN-4,,,,,,,,,,,,,,,,,,,
CORNER,,,,,,,,,,,,,,,,,,,
CORN_2,CORN,TRANSMISSION,VAGUE, EVASIVE, BLURRY, SECRET, OBSCURE, SMEAR,,,,,,,,,,,
CORRECT,,,,,,,,,,,,,,,,,,,
CORRESPOND,,,,,,,,,,,,,,,,,,,
COUCH,,,,,,,,,,,,,,,,,,,
COUGH,,,,,,,,,,,,,,,,,,,
COUGH-2,,,,,,,,,,,,,,,,,,,
COUNSELOR,COUNSELING,ADVISOR, ADVICE, CONSULTANT,,,,,,,,,,,,,,,
COUNT,,,,,,,,,,,,,,,,,,,
COUNTRY,,,,,,,,,,,,,,,,,,,
COURSE,,,,,,,,,,,,,,,,,,,
COURT,,,,,,,,,,,,,,,,,,,
COURT+AGENT,,,,,,,,,,,,,,,,,,,
COURT+BOX-ROOM,,,,,,,,,,,,,,,,,,,
COURT+HOUSE,,,,,,,,,,,,,,,,,,,
COUSIN,,,,,,,,,,,,,,,,,,,
COVER,,,,,,,,,,,,,,,,,,,
COVER_UP,COVER UP, COVER,VAGUE, CONCEAL, MASK, MISLEAD, SLIDE OVER,,,,,,,,,,,,
COW,,,,,,,,,,,,,,,,,,,
CRACK,,,,,,,,,,,,,,,,,,,
CRACKER-PASSOVER,,,,,,,,,,,,,,,,,,,
CRAWL,,,,,,,,,,,,,,,,,,,
CRAZY,CRAZY,INSANE, MINDLESS, PSYCHO, LOCO, MENTALLY ILL, MIND ISN'T WORKING, WACKO, CUKOO,INSANE, MENTAL, CRAZY, PSYCHO, LOOPY, NUTTY, STRANGE,,,
CREAM,,,,,,,,,,,,,,,,,,,
CREATE-PRETEND,,,,,,,,,,,,,,,,,,,
CREDIT-CARD,,,,,,,,,,,,,,,,,,,
CRIPPLE,,,,,,,,,,,,,,,,,,,
CROSS,,,,,,,,,,,,,,,,,,,
CROSS-MY-HEART,,,,,,,,,,,,,,,,,,,
CROWDED,,,,,,,,,,,,,,,,,,,
CROWN,,,,,,,,,,,,,,,,,,,
CROWN+DCL:4coronet,,,,,,,,,,,,,,,,,,,
CRUEL,,,,,,,,,,,,,,,,,,,
CRUSH,,,,,,,,,,,,,,,,,,,
CRY,CRY, CRYING,TEARS,TEARFUL,,,,,,,,,,,,,,,
CUBED,,,,,,,,,,,,,,,,,,,
CULTURE,,,,,,,,,,,,,,,,,,,
CUP,CUP,CAN, GLASS, GLASSES,,,,,,,,,,,,,,,
CURIOUS,,,,,,,,,,,,,,,,,,,
CURLY,,,,,,,,,,,,,,,,,,,
CURRICULUM,,,,,,,,,,,,,,,,,,,
CURSE,,,,,,,,,,,,,,,,,,,
CURTAIN,CURTAIN, CURTAINS,DRAPES,DRAPE,,,,,,,,,,,,,,,
CURVE,,,,,,,,,,,,,,,,,,,
CUSHION,,,,,,,,,,,,,,,,,,,
CUSTOMER,,,,,,,,,,,,,,,,,,,
CUT,,,,,,,,,,,,,,,,,,,
CUT-FABRIC,,,,,,,,,,,,,,,,,,,
CUT-WITH-SCISSORS,,,,,,,,,,,,,,,,,,,
CUTE,CUTE,SUGAR,SUGAR,,,,,,,,,,,,,,,,
CUTE++DCLcane,,,,,,,,,,,,,,,,,,,
CYCLE,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,
DANCE,,,,,,,,,,,,,,,,,,,
DANGER,,,,,,,,,,,,,,,,,,,
DARE,,,,,,,,,,,,,,,,,,,
DARK,,,,,,,,,,,,,,,,,,,
"DART,DART, DARTS, DARTING,""67,86"",THROW A DART, THROW SEEDS, THROW IN, TO GIVE MY INPUT,TOSS IN,,,,,,,,,,",,,,,,,,,,,,,,,,,,,
DARTS,,,,,,,,,,,,,,,,,,,
DASH-LINES,,,,,,,,,,,,,,,,,,,
DATE-DESSERT,,,,,,,,,,,,,,,,,,,
DAUGHTER,,,,,,,,,,,,,,,,,,,
DAY,,,,,,,,,,,,,,,,,,,
DCL:1speedometer,,,,,,,,,,,,,,,,,,,
DCL:crvd-5tall wide cylindrical object,,,,,,,,,,,,,,,,,,,
DCL:crvd-5tall wide cylindrical object+HANDLE,,,,,,,,,,,,,,,,,,,
DCL:crvd-Vcouch shaped object,,,,,,,,,,,,,,,,,,,
DCLT+VOLUNTEER-SHIRT,,,,,,,,,,,,,,,,,,,
DCLcan+ICLopen can,,,,,,,,,,,,,,,,,,,
DCLflat stack,,,,,,,,,,,,,,,,,,,
DCLlong stringed hanging object,,,,,,,,,,,,,,,,,,,
DCLpile,,,,,,,,,,,,,,,,,,,
DCLrough surface,,,,,,,,,,,,,,,,,,,
DCLsteam rising,,,,,,,,,,,,,,,,,,,
DCLthick strip,,,,,,,,,,,,,,,,,,,
DCLthin cylindrical object,,,,,,,,,,,,,,,,,,,
DEAF,,,,,,,,,,,,,,,,,,,
DEAF-APPLAUSE,,,,,,,,,,,,,,,,,,,
DEAL-CARDS,,,,,,,,,,,,,,,,,,,
DECIDE,,,,,,,,,,,,,,,,,,,
DECIDE_2,DECIDE,DECISION, DEFINITELY, DETERMINE, DID YOU MAKE A DECISION?,DECISION, DECIDE, POSITIVE, ASSUME,,,,,,,,,,
DECONSTRUCT,,,,,,,,,,,,,,,,,,,
DECORATE,,,,,,,,,,,,,,,,,,,
DECREASE,,,,,,,,,,,,,,,,,,,
DEEP,,,,,,,,,,,,,,,,,,,
DEER,,,,,,,,,,,,,,,,,,,
DEFEND,,,,,,,,,,,,,,,,,,,
DEFLATE,,,,,,,,,,,,,,,,,,,
DEFLATE-2,,,,,,,,,,,,,,,,,,,
DELETE,,,,,,,,,,,,,,,,,,,
DELICIOUS,,,,,,,,,,,,,,,,,,,
DEMOCRAT,,,,,,,,,,,,,,,,,,,
DENTIST,,,,,,,,,,,,,,,,,,,
DENY,DENY, DENYING,DENIAL,DENIAL,,,,,,,,,,,,,,,
DEPARTMENT,,,,,,,,,,,,,,,,,,,
DEPEND,,,,,,,,,,,,,,,,,,,
DEPOSIT,,,,,,,,,,,,,,,,,,,
DEPRESS,,,,,,,,,,,,,,,,,,,
DESTROY,,,,,,,,,,,,,,,,,,,
DETECTIVE,,,,,,,,,,,,,,,,,,,
DETERIORATE,,,,,,,,,,,,,,,,,,,
DEVELOP,,,,,,,,,,,,,,,,,,,
DEVIL-MISCHIEVOUS,,,,,,,,,,,,,,,,,,,
DEVOUR,,,,,,,,,,,,,,,,,,,
DIAL-ROTARY,,,,,,,,,,,,,,,,,,,
DIALOG,,,,,,,,,,,,,,,,,,,
DIAMOND,,,,,,,,,,,,,,,,,,,
DIAPER,DIAPER, DIAPERS,NAVY,,,,,,,,,,,,,,,,
DICTIONARY,,,,,,,,,,,,,,,,,,,
DIE,,,,,,,,,,,,,,,,,,,
DIM,,,,,,,,,,,,,,,,,,,
DIMPLE,,,,,,,,,,,,,,,,,,,
DINNER,,,,,,,,,,,,,,,,,,,
DINNER++BOX-ROOM,,,,,,,,,,,,,,,,,,,
DINOSAUR,DINOSAUR, DINOSAURS,,,,,,,,,,,,,,,,,
DIPLOMA,,,,,,,,,,,,,,,,,,,
DIRECT,,,,,,,,,,,,,,,,,,,
DIRECT+AGENT,,,,,,,,,,,,,,,,,,,
DIRTY,,,,,,,,,,,,,,,,,,,
DISAGREE,,,,,,,,,,,,,,,,,,,
DISAPPEAR,,,,,,,,,,,,,,,,,,,
DISAPPOINT,,,,,,,,,,,,,,,,,,,
DISCIPLINE,,,,,,,,,,,,,,,,,,,
DISCONNECT,,,,,,,,,,,,,,,,,,,
DISCRIMINATE,,,,,,,,,,,,,,,,,,,
DISCUSS,,,,,,,,,,,,,,,,,,,
DISGUST,,,,,,,,,,,,,,,,,,,
DISH,,,,,,,,,,,,,,,,,,,
DISMISS,,,,,,,,,,,,,,,,,,,
DISTRIBUTE,,,,,,,,,,,,,,,,,,,
DIVE,,,,,,,,,,,,,,,,,,,
DIVE-OFF-BOARD,,,,,,,,,,,,,,,,,,,
DIVIDE,,,,,,,,,,,,,,,,,,,
DIVORCE,,,,,,,,,,,,,,,,,,,
DIZZY,,,,,,,,,,,,,,,,,,,
DO,,,,,,,,,,,,,,,,,,,
DO-DO,,,,,,,,,,,,,,,,,,,
DO-DO+HAPPEN,,,,,,,,,,,,,,,,,,,
DOCTOR,,,,,,,,,,,,,,,,,,,
DOLLAR,,,,,,,,,,,,,,,,,,,
DONKEY,,,,,,,,,,,,,,,,,,,
DONT,,,,,,,,,,,,,,,,,,,
DONUT,,,,,,,,,,,,,,,,,,,
DOOR,,,,,,,,,,,,,,,,,,,
DOOR+SQUARE,,,,,,,,,,,,,,,,,,,
DOORBELL,,,,,,,,,,,,,,,,,,,
DORM,,,,,,,,,,,,,,,,,,,
DOUBT,,,,,,,,,,,,,,,,,,,
DOWN,,,,,,,,,,,,,,,,,,,
DOWN-TO-EARTH,,,,,,,,,,,,,,,,,,,
DOWNLOAD,DOWNLOAD, DOWNLOADING,ENLARGE,,,,,,,,,,,,,,,,
"DOWNSIZE_1,DOWNSIZE, DOWNSIZED, DOWNSIZING,""46,15"",SHRINK, MINIMIZE, REDUCE, BIG TO SMALL, ZOOM IN,REDUCE, MINIMIZE, SHRINK, LOSE WEIGHT,,,,,,",,,,,,,,,,,,,,,,,,,
DOWNSIZE_2,DOWNSIZE, DOWNSIZING,ENDANGERED, DWINDLE, SHRINK, SHRINKING, LESS, DIMINISH,DECREASE, REDUCE, SKINNY,,,,,,,,
DOWNSTAIRS,,,,,,,,,,,,,,,,,,,
DRAGON,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,,,,,,,,,,,
DRESS-CLOTHES,,,,,,,,,,,,,,,,,,,
DRESSER,,,,,,,,,,,,,,,,,,,
DRIBBLE,,,,,,,,,,,,,,,,,,,
DRILL,,,,,,,,,,,,,,,,,,,
DRINK,,,,,,,,,,,,,,,,,,,
DRIP,,,,,,,,,,,,,,,,,,,
DRIVE,,,,,,,,,,,,,,,,,,,
DROOL,,,,,,,,,,,,,,,,,,,
DROP,,,,,,,,,,,,,,,,,,,
DROWN,,,,,,,,,,,,,,,,,,,
DRUGS,,,,,,,,,,,,,,,,,,,
DRUMS,,,,,,,,,,,,,,,,,,,
DRUNK,,,,,,,,,,,,,,,,,,,
DRY,,,,,,,,,,,,,,,,,,,
DRY+-nd-C-SPIN,,,,,,,,,,,,,,,,,,,
DRY+AREA,,,,,,,,,,,,,,,,,,,
DRY-CEREAL,,,,,,,,,,,,,,,,,,,
DRYER,DRYER,,,,,,,,,,,,,,,,,,
DUCK,DUCK,FRESHMAN,,,,,,,,,,,,,,,,,
DUMB,DUMB,STUPID,STUPID, DUMB,,,,,,,,,,,,,,,
DURING-WHILE,,,,,,,,,,,,,,,,,,,
DUSTING,,,,,,,,,,,,,,,,,,,
DUTY,,,,,,,,,,,,,,,,,,,
DYE,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,
E-MAIL,,,,,,,,,,,,,,,,,,,
E-MAIL-2,,,,,,,,,,,,,,,,,,,
EACH,,,,,,,,,,,,,,,,,,,
EACH+ONE,,,,,,,,,,,,,,,,,,,
EAGLE,EAGLE,HAWK,,,,,,,,,,,,,,,,,
EAR+EAR-HURT,,,,,,,,,,,,,,,,,,,
EAR-2-BIRTHDAY-2,,,,,,,,,,,,,,,,,,,
EAR-HURT,,,,,,,,,,,,,,,,,,,
EARMUFF,,,,,,,,,,,,,,,,,,,
EARN,EARN,COLLECT, INCOME, GATHER, CREAM, RUN OUT,EARN, DESERVE, EARN, EARNING, CREAM, INTAKE, COLLECT, GATHER, INCOME,,,,
EARRING,,,,,,,,,,,,,,,,,,,
EARTH,EARTH,PLANET,PLANET, GEOGRAPHY, EARTH,,,,,,,,,,,,,,
EARTH+RUMBLE,,,,,,,,,,,,,,,,,,,
EARTH+SPHERE,,,,,,,,,,,,,,,,,,,
EAST,,,,,,,,,,,,,,,,,,,
EASTER,,,,,,,,,,,,,,,,,,,
EASY,,,,,,,,,,,,,,,,,,,
EAT,EAT,FOOD,,,,,,,,,,,,,,,,,
EAT++SELL,,,,,,,,,,,,,,,,,,,
EAT+BOX-ROOM,,,,,,,,,,,,,,,,,,,
EAT+BUY,,,,,,,,,,,,,,,,,,,
EAT+MORNING,,,,,,,,,,,,,,,,,,,
EAT+NIGHT,,,,,,,,,,,,,,,,,,,
EAT+NOON,,,,,,,,,,,,,,,,,,,
EAT-WITH-FORK,,,,,,,,,,,,,,,,,,,
EAT_2,EAT,FOOD,EAT, FOOD, MEAL, DIET,,,,,,,,,,,,,
ECONOMIC,,,,,,,,,,,,,,,,,,,
EDGE-CLIFF,,,,,,,,,,,,,,,,,,,
EFFORT,,,,,,,,,,,,,,,,,,,
EGG,EGG, EGGS,,,,,,,,,,,,,,,,,
EGO,EGO, ALL ABOUT ME,BIGOT, SHOW-OFF, SELF-CENTERED, SELF-INVOLVED, SELFISH, GREEDY,ARROGANT, SELFISH, PIG, ALL MINE, BULLY, ME FIRST, SELF-CENTERED,,,,
EIGHT,,,,,,,,,,,,,,,,,,,
EIGHT+HOUR,,,,,,,,,,,,,,,,,,,
EIGHT-HOURS,,,,,,,,,,,,,,,,,,,
EIGHT-MONTHS,,,,,,,,,,,,,,,,,,,
EIGHT-WEEKS,,,,,,,,,,,,,,,,,,,
EIGHTEEN,,,,,,,,,,,,,,,,,,,
EIGHTH,,,,,,,,,,,,,,,,,,,
EIGHTH-PLACE,,,,,,,,,,,,,,,,,,,
EIGHTY-EIGHT,,,,,,,,,,,,,,,,,,,
EIGHTY-NINE,,,,,,,,,,,,,,,,,,,
EITHER,,,,,,,,,,,,,,,,,,,
ELASTIC,,,,,,,,,,,,,,,,,,,
ELBOW,,,,,,,,,,,,,,,,,,,
ELBOW-PATCH,,,,,,,,,,,,,,,,,,,
ELECTRIC,,,,,,,,,,,,,,,,,,,
ELECTRIC+AGENT,,,,,,,,,,,,,,,,,,,
ELECTRICIAN,ELECTRICIAN,ELECTRICAL, ELECTRONIC, CHARGER,HATCH,,,,,,,,,,,,,,
ELEMENTARY,,,,,,,,,,,,,,,,,,,
ELEPHANT,,,,,,,,,,,,,,,,,,,
ELEVATOR,,,,,,,,,,,,,,,,,,,
ELEVEN,,,,,,,,,,,,,,,,,,,
EMBARRASS,,,,,,,,,,,,,,,,,,,
EMERGENCY,,,,,,,,,,,,,,,,,,,
EMOTION,EMOTION, EMOTIONS,EMOTIONAL,EMOTIONAL, EMOTION,,,,,,,,,,,,,,
EMOTIONLESS,,,,,,,,,,,,,,,,,,,
EMPEROR,EMPEROR,EMPIRE, AMBASSADOR, NAME SIGN FOR PERSON E,EMBASSY, EMPEROR, EMPRESS,,,,,,,,,,,,
EMPHASIZE,,,,,,,,,,,,,,,,,,,
EMPTY-EARLY,,,,,,,,,,,,,,,,,,,
EMPTY-NAKED,,,,,,,,,,,,,,,,,,,
ENCOURAGE,,,,,,,,,,,,,,,,,,,
ENCYCLOPEDIA,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,
ENERGY,,,,,,,,,,,,,,,,,,,
ENGAGEMENT,,,,,,,,,,,,,,,,,,,
ENGINE,,,,,,,,,,,,,,,,,,,
ENGINEER,ENGINEER,ARCHITECT,,,,,,,,,,,,,,,,,
ENGINEERING+AGENT,,,,,,,,,,,,,,,,,,,
ENOUGH,ENOUGH,PLENTY, HAD ENOUGH, SUFFICIENT,,,,,,,,,,,,,,,
ENTER,,,,,,,,,,,,,,,,,,,
ENVIRONMENT,,,,,,,,,,,,,,,,,,,
EPISCOPAL,,,,,,,,,,,,,,,,,,,
EQUAL,EQUAL,FAIR, EVEN,FAIR, EQUAL, EQUALITY, JUSTICE, SAME, EVEN,,,,,,,,,,
EQUIPMENT,,,,,,,,,,,,,,,,,,,
ERASE,,,,,,,,,,,,,,,,,,,
ERASE-BOARD,,,,,,,,,,,,,,,,,,,
ERECT,,,,,,,,,,,,,,,,,,,
ESCAPE,,,,,,,,,,,,,,,,,,,
ETCETERA,,,,,,,,,,,,,,,,,,,
EVALUATE,EVALUATE,EVALUATION, EXPERIMENT, EXPERIENCE,,,,,,,,,,,,,,,
EVENING,,,,,,,,,,,,,,,,,,,
EVERY+-2h-THING,,,,,,,,,,,,,,,,,,,
EVERY-FRIDAY,,,,,,,,,,,,,,,,,,,
EVERY-MONDAY,,,,,,,,,,,,,,,,,,,
EVERY-MONTH-RENT,,,,,,,,,,,,,,,,,,,
EVERY-SATURDAY,,,,,,,,,,,,,,,,,,,
EVERY-SUNDAY,,,,,,,,,,,,,,,,,,,
EVERY-THURSDAY,,,,,,,,,,,,,,,,,,,
EVERY-TUESDAY,,,,,,,,,,,,,,,,,,,
EVERY-TWO-YEARS,,,,,,,,,,,,,,,,,,,
EVERY-WEDNESDAY,,,,,,,,,,,,,,,,,,,
EVERY-WEEK,,,,,,,,,,,,,,,,,,,
EVERY-YEAR,,,,,,,,,,,,,,,,,,,
EVERYDAY,,,,,,,,,,,,,,,,,,,
EXACT,,,,,,,,,,,,,,,,,,,
EXAGGERATE,,,,,,,,,,,,,,,,,,,
EXCEED,,,,,,,,,,,,,,,,,,,
EXCITED,,,,,,,,,,,,,,,,,,,
EXCUSE,,,,,,,,,,,,,,,,,,,
EXPAND,,,,,,,,,,,,,,,,,,,
EXPENSIVE,,,,,,,,,,,,,,,,,,,
EXPERIENCE,EXPERIENCE,PEACH,PEACH, MORMON,,,,,,,,,,,,,,,
EXPERIMENT,,,,,,,,,,,,,,,,,,,
EXPERT,,,,,,,,,,,,,,,,,,,
EXPLAIN,,,,,,,,,,,,,,,,,,,
EXPLOIT,,,,,,,,,,,,,,,,,,,
EXPOSE,,,,,,,,,,,,,,,,,,,
EXPRESS,,,,,,,,,,,,,,,,,,,
EYE-MASK,,,,,,,,,,,,,,,,,,,
EYEBROW,,,,,,,,,,,,,,,,,,,
EYEBROW-FROWN,,,,,,,,,,,,,,,,,,,
EYELASHES,,,,,,,,,,,,,,,,,,,
EYES,EYES,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,
FACE,,,,,,,,,,,,,,,,,,,
FACE+NICE-CLEAN,,,,,,,,,,,,,,,,,,,
FACE+SAME,,,,,,,,,,,,,,,,,,,
FACE+STRONG,,,,,,,,,,,,,,,,,,,
FACIAL-EXPRESSION,,,,,,,,,,,,,,,,,,,
FACULTY,,,,,,,,,,,,,,,,,,,
FAIL,,,,,,,,,,,,,,,,,,,
FALL,,,,,,,,,,,,,,,,,,,
FALL-IN-LOVE,,,,,,,,,,,,,,,,,,,
FALL-INTO-PLACE,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,
FALSEHOOD,,,,,,,,,,,,,,,,,,,
FAMILY,,,,,,,,,,,,,,,,,,,
FAMOUS,,,,,,,,,,,,,,,,,,,
FANCY,,,,,,,,,,,,,,,,,,,
FANCY+BOX-ROOM,,,,,,,,,,,,,,,,,,,
FANTASY,,,,,,,,,,,,,,,,,,,
FAR,,,,,,,,,,,,,,,,,,,
FARM,,,,,,,,,,,,,,,,,,,
FARM+AGENT,,,,,,,,,,,,,,,,,,,
FASCINATE,,,,,,,,,,,,,,,,,,,
FAST,,,,,,,,,,,,,,,,,,,
FAST-3,,,,,,,,,,,,,,,,,,,
FASTING,,,,,,,,,,,,,,,,,,,
FAT,,,,,,,,,,,,,,,,,,,
FATHER,,,,,,,,,,,,,,,,,,,
FATHER+LAW,,,,,,,,,,,,,,,,,,,
FAUCET,FAUCET, FAUCETS,SINK, TURN ON/OFF WATER FAUCET,,,,,,,,,,,,,,,
FAULT,,,,,,,,,,,,,,,,,,,
FAVORITE-PREFER,,,,,,,,,,,,,,,,,,,
FAVOURITE,FAVOURITE,PREFER, PREFERENCE, FAVOR, TASTE,PREFERENCE, FAVORITE, FAVOR, PREFER, PREFERRED, TASTE, PREFERENCE, FAVORITISM,,,,,,
FAX,,,,,,,,,,,,,,,,,,,
FEATHER,,,,,,,,,,,,,,,,,,,
FED-UP-FULL,,,,,,,,,,,,,,,,,,,
FEDERAL,,,,,,,,,,,,,,,,,,,
FEED,,,,,,,,,,,,,,,,,,,
FEEDBACK,,,,,,,,,,,,,,,,,,,
FEEL,,,,,,,,,,,,,,,,,,,
FEEL+DEFLATE,,,,,,,,,,,,,,,,,,,
FEEL+GRIEF,,,,,,,,,,,,,,,,,,,
FEEL+NONE-NOTHING,,,,,,,,,,,,,,,,,,,
FEMALE-COUSIN,,,,,,,,,,,,,,,,,,,
FEMALE-FIGURE,,,,,,,,,,,,,,,,,,,
FENCE,,,,,,,,,,,,,,,,,,,
FERRIS-WHEEL-FAIR,,,,,,,,,,,,,,,,,,,
FEW,,,,,,,,,,,,,,,,,,,
FEW-CLOSE,,,,,,,,,,,,,,,,,,,
FIANCE,,,,,,,,,,,,,,,,,,,
FIFTEEN,,,,,,,,,,,,,,,,,,,
FIFTH,,,,,,,,,,,,,,,,,,,
FIFTH-PLACE,,,,,,,,,,,,,,,,,,,
FIFTY-FIVE,,,,,,,,,,,,,,,,,,,
FIGHT,,,,,,,,,,,,,,,,,,,
FIGURE,FIGURE,MULTIPLY, CALCULATE, MATH,FIGURE, MULTIPLY, MATH, WORSENING,,,,,,,,,,,
FIGURE-OUT,,,,,,,,,,,,,,,,,,,
FILE,,,,,,,,,,,,,,,,,,,
FILL-OUT,,,,,,,,,,,,,,,,,,,
